Year,Quarter,State,District,Registered Users,App Opens,Average Opens
2021,Q1,Arunachal Pradesh,Shi Yomi,390,7228,18.533333333333335
2021,Q1,Arunachal Pradesh,East Kameng,3990,69455,17.407268170426065
2021,Q1,Arunachal Pradesh,Lohit,14231,295880,20.7912304124798
2021,Q1,Arunachal Pradesh,Lepa Rada,3008,68424,22.747340425531913
2021,Q1,Arunachal Pradesh,Lower Dibang Valley,8402,145425,17.3083789573911
2021,Q1,Arunachal Pradesh,Longding,4117,92482,22.463444255525868
2021,Q1,Arunachal Pradesh,West Siang,10836,191242,17.648763381321523
2021,Q1,Arunachal Pradesh,Kamle,814,16142,19.83046683046683
2021,Q1,Arunachal Pradesh,Upper Siang,3847,87503,22.745775929295554
2021,Q1,Arunachal Pradesh,Kurung Kumey,1287,25911,20.132867132867133
2021,Q1,Arunachal Pradesh,Siang,2878,56271,19.55211952744962
2021,Q1,Arunachal Pradesh,Kra Daadi,1244,30137,24.225884244372992
2021,Q1,Arunachal Pradesh,Changlang,19716,344148,17.45526475958612
2021,Q1,Arunachal Pradesh,Pakke Kessang,647,14995,23.176197836166924
2021,Q1,Arunachal Pradesh,East Siang,19342,363085,18.771843656292006
2021,Q1,Arunachal Pradesh,Upper Subansiri,6577,122422,18.613653641477878
2021,Q1,Arunachal Pradesh,Tawang,11778,230123,19.538376634403125
2021,Q1,Arunachal Pradesh,Namsai,10242,200584,19.584456160906072
2021,Q2,Arunachal Pradesh,Lower Subansiri,8685,444426,51.17167530224525
2021,Q2,Arunachal Pradesh,Tirap,7955,547430,68.81583909490887
2021,Q2,Arunachal Pradesh,Papum Pare,90871,1786163,19.656028876099086
2021,Q2,Arunachal Pradesh,Anjaw,2866,174807,60.993370551291
2021,Q2,Arunachal Pradesh,Lower Siang,3872,246789,63.73682851239669
2021,Q2,Arunachal Pradesh,Dibang Valley,516,77457,150.11046511627907
